School,Games_Played,Total_YDS,Total_YDS/G,Passing_YDS,Passing_YDS/G,Rushing_YDS,Rushing_YDS/G,Points_PTS,Points_PTS/G
Ohio State Buckeyes,16,4074,254.6,2672,167.0,1402,87.6,206,12.9
Indiana Hoosiers,13,3332,256.3,2289,176.1,1043,80.2,203,15.6
Texas Longhorns,16,4539,283.7,2781,173.8,1758,109.9,245,15.3
Northern Illinois Huskies,13,3700,284.6,2242,172.5,1458,112.2,241,18.5
Minnesota Golden Gophers,13,3714,285.7,2289,176.1,1425,109.6,220,16.9
Tennessee Volunteers,13,3809,293.0,2461,189.3,1348,103.7,209,16.1
Penn State Nittany Lions,16,4716,294.8,3086,192.9,1630,101.9,264,16.5
Army Black Knights,14,4171,297.9,2603,185.9,1568,112.0,217,15.5
Ohio Bobcats,14,4264,304.6,2976,212.6,1288,92.0,254,18.1
Michigan Wolverines,13,3991,307.0,2812,216.3,1179,90.7,259,19.9
Notre Dame Fighting Irish,16,4919,307.4,2710,169.4,2209,138.1,248,15.5
Louisiana Tech Bulldogs,13,4009,308.4,2247,172.8,1762,135.5,273,21.0
BYU Cougars,13,4014,308.8,2372,182.5,1642,126.3,255,19.6
Ole Miss Rebels,13,4046,311.2,3000,230.8,1046,80.5,187,14.4
Oregon Ducks,14,4425,316.1,2603,185.9,1822,130.1,272,19.4
South Carolina Gamecocks,13,4116,316.6,2657,204.4,1459,112.2,235,18.1
Missouri Tigers,13,4128,317.5,2357,181.3,1771,136.2,265,20.4
Nebraska Cornhuskers,13,4133,317.9,2817,216.7,1316,101.2,253,19.5
Oklahoma Sooners,13,4137,318.2,2641,203.2,1496,115.1,280,21.5
Iowa Hawkeyes,13,4139,318.4,2640,203.1,1499,115.3,232,17.8
Alabama Crimson Tide,13,4161,320.1,2369,182.2,1792,137.8,226,17.4
Sam Houston Bearkats,13,4180,321.5,2301,177.0,1879,144.5,266,20.5
James Madison Dukes,13,4184,321.8,2684,206.5,1500,115.4,266,20.5
Tulane Green Wave,14,4529,323.5,2488,177.7,2041,145.8,289,20.6
Houston Cougars,12,3888,324.0,2266,188.8,1622,135.2,275,22.9
SMU Mustangs,14,4564,326.0,3161,225.8,1403,100.2,309,22.1
Miami Hurricanes,13,4253,327.2,2787,214.4,1466,112.8,329,25.3
Washington Huskies,13,4269,328.4,2165,166.5,2104,161.8,309,23.8
Utah Utes,12,3956,329.7,2403,200.3,1553,129.4,248,20.7
Georgia Bulldogs,14,4619,329.9,2803,200.2,1816,129.7,288,20.6
Auburn Tigers,12,3969,330.8,2556,213.0,1413,117.8,256,21.3
Miami (OH) RedHawks,14,4640,331.4,2720,194.3,1920,137.1,263,18.8
Michigan State Spartans,12,3984,332.0,2483,206.9,1501,125.1,313,26.1
Bowling Green Falcons,13,4333,333.3,2410,185.4,1923,147.9,281,21.6
Rice Owls,12,4015,334.6,2086,173.8,1929,160.8,305,25.4
California Golden Bears,13,4387,337.5,2959,227.6,1428,109.8,290,22.3
UCF Knights,12,4068,339.0,2624,218.7,1444,120.3,323,26.9
Arizona State Sun Devils,14,4755,339.6,3174,226.7,1581,112.9,316,22.6
UCLA Bruins,12,4090,340.8,2936,244.7,1154,96.2,303,25.3
Air Force Falcons,12,4103,341.9,2262,188.5,1841,153.4,279,23.3
Wisconsin Badgers,12,4112,342.7,2132,177.7,1980,165.0,277,23.1
Georgia Tech Yellow Jackets,13,4457,342.8,2869,220.7,1588,122.2,333,25.6
Kansas State Wildcats,13,4464,343.4,2921,224.7,1543,118.7,304,23.4
