School,Games_Played,Total_YDS,Total_YDS/G,Passing_YDS,Passing_YDS/G,Rushing_YDS,Rushing_YDS/G,Points_PTS,Points_PTS/G
Miami Hurricanes,13,6983,537.2,4527,348.2,2456,188.9,571,43.9
Ole Miss Rebels,13,6846,526.6,4561,350.8,2285,175.8,502,38.6
North Texas Mean Green,13,6355,488.8,4267,328.2,2088,160.6,436,33.5
New Mexico Lobos,12,5811,484.3,2768,230.7,3043,253.6,402,33.5
Texas State Bobcats,13,6200,476.9,3493,268.7,2707,208.2,475,36.5
Utah State Aggies,12,5620,468.3,3229,269.1,2391,199.3,383,31.9
Syracuse Orange,13,6079,467.6,4810,370.0,1269,97.6,443,34.1
Boise State Broncos,14,6524,466.0,3159,225.6,3365,240.4,522,37.3
Texas Tech Red Raiders,13,6016,462.8,3857,296.7,2159,166.1,489,37.6
Arkansas Razorbacks,13,5970,459.2,3571,274.7,2399,184.5,402,30.9
UTSA Roadrunners,13,5882,452.5,3685,283.5,2197,169.0,431,33.2
Clemson Tigers,14,6326,451.9,3899,278.5,2427,173.4,486,34.7
Louisville Cardinals,13,5840,449.2,3433,264.1,2407,185.2,474,36.5
UCF Knights,12,5373,447.8,2396,199.7,2977,248.1,365,30.4
Tennessee Volunteers,13,5811,447.0,2875,221.2,2936,225.8,464,35.7
Memphis Tigers,13,5779,444.5,3516,270.5,2263,174.1,464,35.7
Washington State Cougars,13,5757,442.8,3589,276.1,2168,166.8,476,36.6
South Alabama Jaguars,13,5750,442.3,3165,243.5,2585,198.8,447,34.4
Jacksonville State Gamecocks,14,6183,441.6,2666,190.4,3517,251.2,504,36.0
Baylor Bears,13,5721,440.1,3397,261.3,2324,178.8,447,34.4
Texas Longhorns,16,7000,437.5,4460,278.8,2540,158.8,528,33.0
Oregon Ducks,14,6124,437.4,3913,279.5,2211,157.9,488,34.9
USC Trojans,13,5684,437.2,3795,291.9,1889,145.3,392,30.2
East Carolina Pirates,13,5673,436.4,3432,264.0,2241,172.4,416,32.0
LSU Tigers,13,5610,431.5,4097,315.2,1513,116.4,396,30.5
Penn State Nittany Lions,16,6883,430.2,3646,227.9,3237,202.3,530,33.1
SMU Mustangs,14,6013,429.5,3666,261.9,2347,167.6,511,36.5
Arizona State Sun Devils,14,6012,429.4,3213,229.5,2799,199.9,461,32.9
Auburn Tigers,12,5153,429.4,3167,263.9,1986,165.5,333,27.8
Ohio State Buckeyes,16,6870,429.4,4208,263.0,2662,166.4,571,35.7
Kansas State Wildcats,13,5549,426.8,2748,211.4,2801,215.5,401,30.8
TCU Horned Frogs,13,5549,426.8,4068,312.9,1481,113.9,435,33.5
App State Mountaineers,11,4695,426.8,3003,273.0,1692,153.8,293,26.6
Indiana Hoosiers,13,5543,426.4,3397,261.3,2146,165.1,537,41.3
Georgia Tech Yellow Jackets,13,5519,424.5,3088,237.5,2431,187.0,376,28.9
Kansas Jayhawks,12,5050,420.8,2505,208.8,2545,212.1,356,29.7
Cincinnati Bearcats,12,5047,420.6,2838,236.5,2209,184.1,302,25.2
Liberty Flames,12,5030,419.2,2014,167.8,3016,251.3,347,28.9
Iowa State Cyclones,14,5827,416.2,3580,255.7,2247,160.5,435,31.1
UNLV Rebels,14,5826,416.1,2417,172.6,3409,243.5,495,35.4
Louisiana Ragin' Cajuns,14,5812,415.1,3482,248.7,2330,166.4,433,30.9
Alabama Crimson Tide,13,5333,410.2,3073,236.4,2260,173.8,439,33.8
San José State Spartans,13,5321,409.3,4183,321.8,1138,87.5,369,28.4
Pittsburgh Panthers,13,5310,408.5,3467,266.7,1843,141.8,428,32.9
South Florida Bulls,13,5308,408.3,2957,227.5,2351,180.8,418,32.2
South Carolina Gamecocks,13,5301,407.8,2904,223.4,2397,184.4,396,30.5
James Madison Dukes,13,5299,407.6,2809,216.1,2490,191.5,433,33.3
North Carolina Tar Heels,13,5287,406.7,2917,224.4,2370,182.3,402,30.9
Ohio Bobcats,14,5686,406.1,2694,192.4,2992,213.7,410,29.3
Texas A&M Aggies,13,5279,406.1,2734,210.3,2545,195.8,395,30.4
Georgia Bulldogs,14,5676,405.4,3934,281.0,1742,124.4,443,31.6
West Virginia Mountaineers,13,5270,405.4,2734,210.3,2536,195.1,379,29.2
Tulane Green Wave,14,5670,405.0,2931,209.4,2739,195.6,491,35.1
Old Dominion Monarchs,12,4832,402.7,2315,192.9,2517,209.8,336,28.0
Notre Dame Fighting Irish,16,6385,399.1,3170,198.1,3215,200.9,578,36.1
UConn Huskies,13,5169,397.6,2579,198.4,2590,199.2,415,31.9
Florida Atlantic Owls,12,4771,397.6,2503,208.6,2268,189.0,311,25.9
UAB Blazers,12,4711,392.6,3139,261.6,1572,131.0,314,26.2
BYU Cougars,13,5100,392.3,3007,231.3,2093,161.0,405,31.2
Oregon State Beavers,12,4687,390.6,2417,201.4,2270,189.2,291,24.3
Washington Huskies,13,5076,390.5,3402,261.7,1674,128.8,304,23.4
Tulsa Golden Hurricane,12,4676,389.7,2863,238.6,1813,151.1,300,25.0
Missouri Tigers,13,5064,389.5,2926,225.1,2138,164.5,376,28.9
Georgia State Panthers,12,4668,389.0,3069,255.8,1599,133.3,286,23.8
Colorado State Rams,13,5039,387.6,2853,219.5,2186,168.2,317,24.4
Florida Gators,13,5030,386.9,2934,225.7,2096,161.2,368,28.3
Maryland Terrapins,12,4635,386.3,3308,275.7,1327,110.6,284,23.7
Arkansas State Red Wolves,13,4997,384.4,2957,227.5,2040,156.9,336,25.8
Colorado Buffaloes,13,4981,383.2,4134,318.0,847,65.2,428,32.9
Marshall Thundering Herd,13,4976,382.8,2354,181.1,2622,201.7,414,31.8
Rutgers Scarlet Knights,13,4975,382.7,2696,207.4,2279,175.3,376,28.9
Northern Illinois Huskies,13,4969,382.2,2320,178.5,2649,203.8,319,24.5
Army Black Knights,14,5335,381.1,1128,80.6,4207,300.5,435,31.1
California Golden Bears,13,4942,380.2,3362,258.6,1580,121.5,326,25.1
Eastern Michigan Eagles,12,4534,377.8,2832,236.0,1702,141.8,311,25.9
NC State Wolfpack,13,4911,377.8,3024,232.6,1887,145.2,371,28.5
Bowling Green Falcons,13,4907,377.5,3128,240.6,1779,136.8,352,27.1
Mississippi State Bulldogs,12,4526,377.2,2871,239.3,1655,137.9,310,25.8
Nevada Wolf Pack,13,4889,376.1,2764,212.6,2125,163.5,300,23.1
Coastal Carolina Chanticleers,13,4868,374.5,2626,202.0,2242,172.5,373,28.7
Oklahoma State Cowboys,12,4488,374.0,3147,262.3,1341,111.8,326,27.2
Western Kentucky Hilltoppers,14,5235,373.9,3705,264.6,1530,109.3,349,24.9
Navy Midshipmen,13,4827,371.3,1609,123.8,3218,247.5,407,31.3
Wake Forest Demon Deacons,12,4448,370.7,2881,240.1,1567,130.6,308,25.7
Toledo Rockets,13,4814,370.3,3290,253.1,1524,117.2,371,28.5
Western Michigan Broncos,13,4810,370.0,2431,187.0,2379,183.0,376,28.9
Troy Trojans,12,4425,368.8,2556,213.0,1869,155.8,312,26.0
Virginia Tech Hokies,13,4781,367.8,2462,189.4,2319,178.4,366,28.2
Hawai'i Rainbow Warriors,12,4390,365.8,3218,268.2,1172,97.7,268,22.3
Boston College Eagles,13,4754,365.7,2591,199.3,2163,166.4,366,28.2
Georgia Southern Eagles,13,4750,365.4,3091,237.8,1659,127.6,364,28.0
Illinois Fighting Illini,13,4743,364.8,2746,211.2,1997,153.6,368,28.3
Virginia Cavaliers,12,4331,360.9,2748,229.0,1583,131.9,272,22.7
Nebraska Cornhuskers,13,4667,359.0,2969,228.4,1698,130.6,306,23.5
Buffalo Bulls,13,4620,355.4,2422,186.3,2198,169.1,375,28.8
Arizona Wildcats,12,4245,353.8,2975,247.9,1270,105.8,261,21.8
Rice Owls,12,4235,352.9,2868,239.0,1367,113.9,266,22.2
Miami (OH) RedHawks,14,4938,352.7,3044,217.4,1894,135.3,337,24.1
Middle Tennessee Blue Raiders,12,4219,351.6,3133,261.1,1086,90.5,217,18.1
Wisconsin Badgers,12,4204,350.3,2360,196.7,1844,153.7,271,22.6
Florida International Panthers,12,4200,350.0,2753,229.4,1447,120.6,316,26.3
Sam Houston Bearkats,13,4523,347.9,2186,168.2,2337,179.8,309,23.8
Ball State Cardinals,12,4174,347.8,2940,245.0,1234,102.8,304,25.3
Massachusetts Minutemen,12,4143,345.3,2181,181.8,1962,163.5,270,22.5
Charlotte 49ers,12,4094,341.2,2689,224.1,1405,117.1,284,23.7
Fresno State Bulldogs,13,4428,340.6,3152,242.5,1276,98.2,339,26.1
Minnesota Golden Gophers,13,4391,337.8,2888,222.2,1503,115.6,340,26.2
Duke Blue Devils,13,4378,336.8,3176,244.3,1202,92.5,342,26.3
San Diego State Aztecs,12,4015,334.6,2468,205.7,1547,128.9,256,21.3
Louisiana Tech Bulldogs,13,4341,333.9,2911,223.9,1430,110.0,272,20.9
Michigan State Spartans,12,4001,333.4,2617,218.1,1384,115.3,232,19.3
Akron Zips,12,3993,332.8,2789,232.4,1204,100.3,245,20.4
Central Michigan Chippewas,12,3988,332.3,1961,163.4,2027,168.9,271,22.6
Oklahoma Sooners,13,4303,331.0,2286,175.8,2017,155.2,312,24.0
Kentucky Wildcats,12,3965,330.4,2218,184.8,1747,145.6,247,20.6
Utah Utes,12,3958,329.8,2393,199.4,1565,130.4,283,23.6
Iowa Hawkeyes,13,4275,328.8,1711,131.6,2564,197.2,360,27.7
UCLA Bruins,12,3945,328.8,2906,242.2,1039,86.6,221,18.4
Wyoming Cowboys,12,3927,327.3,2273,189.4,1654,137.8,232,19.3
Stanford Cardinal,12,3887,323.9,2295,191.3,1592,132.7,274,22.8
New Mexico State Aggies,12,3878,323.2,1718,143.2,2160,180.0,259,21.6
UTEP Miners,12,3849,320.8,2400,200.0,1449,120.8,234,19.5
Vanderbilt Commodores,13,4139,318.4,2322,178.6,1817,139.8,357,27.5
Air Force Falcons,12,3765,313.8,1077,89.8,2688,224.0,227,18.9
Temple Owls,12,3705,308.8,2592,216.0,1113,92.8,235,19.6
UL Monroe Warhawks,12,3653,304.4,1617,134.8,2036,169.7,252,21.0
Purdue Boilermakers,12,3591,299.3,2207,183.9,1384,115.3,189,15.8
Houston Cougars,12,3450,287.5,1832,152.7,1618,134.8,168,14.0
Michigan Wolverines,13,3721,286.2,1678,129.1,2043,157.2,286,22.0
Northwestern Wildcats,12,3413,284.4,2231,185.9,1182,98.5,214,17.8
Southern Miss Golden Eagles,12,3406,283.8,2099,174.9,1307,108.9,183,15.3
Florida State Seminoles,12,3243,270.3,2164,180.3,1079,89.9,185,15.4
Kennesaw State Owls,12,3011,250.9,1636,136.3,1375,114.6,198,16.5
,12,2799,233.3,1876,156.3,923,76.9,167,13.9
